,TweetID,HateType,TweetText,Hate
3836,574902750485467136,1,@Spangnation Her continued production of carbon dioxide.,0
3837,574902871524667395,1,@ChrisJenki Jodi Arias.  Convicted murderer.,0
3839,575325552241958912,1,@DViper31 I see that now...didn't get far enough into his TL.,0
3840,575333119613534208,1,@MeReachingout @GodfreyElfwick ...a pitch perfect parody.  My bad.,0
3842,575647986341928962,1,RT @LeonHWolf: The fact that Jimmy Buffett ever sold a record is an indictment against the idea of American exceptionalism,0
3843,575656066446311424,1,@CordovanSplotch @Superjutah ...but that assumes the feminist shepherds care about the lives of their sheep.,0
3844,575657826158149633,1,RT @SalemP08: @MT8_9 @LiljaOB @midnitebacon @Superjutah @Transic_nyc her response is pretty terrifying.,0
3845,575658083969470464,1,@BristolBen @LiljaOB @Transic_nyc ...poor Ben.,0
3846,575671613586194432,1,RT @Lyall: Bosom flattering #NoMorePage3 t-shirt profile pic #FeministSelfie #irony #hypocrisy #praxis #notbad #sorry #malegaze http://t.co…,0
3849,575779120874827776,1,RT @JustLaurenB: #IDontNeedFeminism http://t.co/euBRYUJlUW,0
3851,575805041665245184,1,@asredasmyhair Isn't that their goal?,0
3853,576032433067405312,1,"@shaner38 @tv_Expert1 @robinashe So, the hostile help line said hostel?",0
3854,576032789742665728,1,@xWriters_Blockx Can't forget it...never heard about it...,0
3856,576205458471530496,1,@HumanistFury @Femitheist ...good luck to you with that.,0
3857,576223568477995008,1,"RT @whyisitdirty: If feminists addressed the rampant sexism and misandry in #feminism, then perhaps #WomenAgainstFeminism and #antifeminism…",0
3858,576356654503075840,1,"@Superjutah A lot of MRA's are gay, actually.  They see how feminism merely uses them.",0
3859,576363932983668737,1,"RT @Eliah_R: @MT8_9 @sara771987 worst part is cut out of the image, the original tumblr had 45 thousand shares all attacking little boys #F…",0
3860,576399192844820480,1,"#ThankAFeminist for their ""trolling"" #LetsTalkMen and exposing their hypocritical whining about men using #EverydaySexism or #YesAllWomen.",0
3861,576399772183109632,1,"@howmariefeels I think he's trolling, actually...",0
3862,576405018603085824,1,RT @asredasmyhair: But no...feminism hasn't changed. It's still relevant. Go sluts!  #FemFreeFriday #WomenAgainstFeminism http://t.co/Nj4v0…,0
3863,576411367202287617,1,@karengeier Go on...,0
3865,576467854683451392,1,@TamedInsanity Jessica is a special type of human feces.,0
3866,576472787893788673,1,RT @CausticDefiler: @MT8_9 just gonna leave this here for you http://t.co/jYQMQJUHua,0
3867,576477153484759040,1,RT @fruitondabottom: #IDontNeedFeminism because I hate being manipulated for feminists' entertainment. #WomenAgainstFeminism #letstalkmen h…,0
3868,576491523203862529,1,"RT @asredasmyhair: Feminists, take note. #FemFreeFriday #WomenAgainstFeminism http://t.co/J2HqzVJ8Cx",0
3870,576503356543381504,1,RT @ObsidianFiles: @BlackBeard20096 @MT8_9 http://t.co/Rk3CttHZhu #BackAwayFromTheTable #TheEnvyGap #BlackFeminists @deanesmay,0
3872,576685571269091328,1,@VCR_Blog @Mislu_Kravin @asredasmyhair Huh?,0
3873,576688228557783040,1,RT @2DogsCaged: @MT8_9 @Justin_Thyme_ @B1gTruckDriver @joyintorah18 ..song ranked No.1 on 26 record charts &amp; received 5 Grammy Noms. http:/…,0
3874,576689359648337921,1,@tonycollinet @EverydaySexism The truth?  I know.  You hate that.,0
3875,576698098388455424,1,@The_Loki_Jotunn @OKPaulista They don't care. Each day I realize feminists are perfectly happy to ruin anyone else's life for their gain.,0
3877,576711837636542464,1,@nonirishpaddy @reverenddg ...with a flat face.  The nose = a bay window.,0
3878,576732953474125825,1,@TicklishQuill It's actually only one face.  It's just as wide and flat as the front of a townhouse so...easy mistake to make.,0
3879,576740108843499520,1,@CassandraYoung Name that state.,0
3880,381988216292655104,1,"RT @brian_day15: I swear, I'm not sexist, but I honestly just cannot stand the woman college football announcer on ESPN2",0
3881,381989237072990208,1,RT @TheDarkManChris: Call me sexist but I think some women are seriously lacking knowledge l when it comes to feminism #random,0
3882,381989256404533251,1,"RT @HannahCamille20: Call me sexist, but females really need to stop acting like they are big football fans. Just stop.",0
3884,381989513691529216,1,RT @Yandiisa_: The mine is no place for a woman to work... Call me sexist but a woman as a rock driller is not practical.,0
3885,382350557957984256,1,"RT @Lex_Naija: And don't call me sexist for that last tweet. If women want equal praise for success, they gotta take equal blame for failur…",0
3886,382350622411874305,1,"RT @TwoThug4U: I'm sorry. But I don't see what's hot about girls who eat like guys. Call me sexist, but i like girls because they're girls.",0
3887,382518137582661632,1,RT @TwoThug4U: @YesYoureSexist but honestly stereotypes are light-hearted and usually harmless. Let people joke around.,0
3888,382518148617863168,1,"RT @TwoThug4U: Feminism is a respectable ideal. Being over-sensitive, and searching for problems is not @YesYoureSexist",0
3889,382518158470311936,1,RT @TwoThug4U: @YesYoureSexist I wouldn't be so mad if not for the fact that I don't appreciate being called a bigot for saying that some t…,0
3891,382518676865294336,1,"RT @JoshCobbler92: @YesYoureSexist that's a sexist tweet, why just women? Sexism can work both ways",0
3892,382606225520615424,1,RT @TwoThug4U: if you look at @YesYoureRacist you see tweets of pure hatred. If you look at @YesYoureSexist you see a few light stupidity a…,0
3893,383627629766508545,1,RT @JaydenKramer: I would rather have a blind dog as a ref than freakin Liz. I am sorry I am not sexist but that is why girls should not re…,0
3894,383627770506399744,1,RT @SxFlint93: I'm not sexist but women should play football past the age of 12 unless they're over 285,0
3895,383627997950910464,1,"@SxFlint93 So true, all women over 12 SHOULD play football, but repeated concussions might make us as stupid as you.",0
3896,383698416171118593,1,RT @SxFlint93: @YesYoureSexist well I don't followyou you so stop trolling.You have tohave something better to do then to look up sexist tw…,0
3897,383698818698457089,1,@SxFlint93 Oh I do plenty but picking rotten low hanging sexist fruit doesn't take up much of my day :),0
3898,383699280130617345,1,"RT @justbeing_abel: I'm not sexist at all. But the saying ""Men don't belong in the kitchen"" is utterly true. I just tried making instant oa…",0
3899,383730558863290368,1,RT @SxFlint93: @YesYoureSexist okay fuck off my shit pussy,0
3900,383730982513168384,1,"The sexist litmus test is if you call out a lvl 2 sexist comment &amp; the dood comes back with lvl 10 guns ablazing, ""pussy"" &amp; ""cunt"" &amp; ""bitch""",0
3901,383731135668162560,1,Because femininity is so horrible! @JonnyG313 I'm not sexist but if a dude cries because of a girl in a wedding dress then he has a vagina,0
3902,384042596680474624,1,RT @Arab_kell: Leave the washing to mum because she's not a complete remtard #WomenEqualWashing #NotSexist #WellSlightlySexist #IMeanMumIsB…,0
3903,384042724522872832,1,RT @farouqzaib  I'm no sexist but I've seen some really dumb girls which lend credibility to the argument.,0
3904,384042812473233408,1,RT @MilesMTV: This bitch. #NoSexist is walking around with a stroller and a dog in it. You're dog 1. Has legs 2. Doesn't need to be in Star…,0
3905,384042907067363328,1,"Unlike you, who is hilariously ignorant and can't spell ""racist"" @MattLevine66 Im sorry but girls are just rly unfunny #norasict #nosexist",0
3907,384043097996283905,1,What a waste of fossil fuels to publish that tweet. @SOFFETUS call me sexist but guys &gt; girls,0
3908,384043149124845568,1,RT @harrymeisel Call me sexist but a pack of girls skateboarding might just be the weirdest thing I've ever seen,0
3909,384043241659588608,1,"i can't even @emk194 Call me sexist, but I actually prefer having guys in charge. Lol atmosphere is more laid-back &amp; fun. Women are serious",0
3910,384439219432603649,1,Boooring @antrooney10 Am not sexist but women can't play football!,0
3911,384439403315077120,1,"RT @popeharrigan And were lost, I told you this didn't take us anywhere. Fuuck you female drivers. no sexist bro",0
3912,384439557267021824,1,"Huh, funny, I find you the most backwards of all @904Harrison Call me sexist but I think it's backwards to have female football commentators",0
3913,384716487937626114,1,"RT @boggsy9 Dont ever let women drive, they'll break your arm! #notsexist",0
3914,385439886875975680,1,@CampbellPaton I'm not sexist but the Canadian anthem should not be changed... It's tradition we all know now that men and women are equal.,0
3915,385440245648334849,1,RT @kingjake2016 I'm not sexist. But I usually walk away when women sports announcers are on Sportscenter.,0
3916,385440354779947008,1,"#hashtag @137kHz #notsexist , but, a #womans 'ill be #ready in 5 minutes is the same length of time as a #mans 'ill be #home in 5 minutes'..",0
3917,385440480130908160,1,Dear men: being a sexist doesn't get women to like you @boomerangWANG Dear women: nagging does not work #nosexist,0
3918,385440585462472704,1,"RT @MyDearWormwood: ""I want equal rights, but I still want your seat on the bus, and you still pay for all dates, and no sexist jokes!"" -ig…",0
3919,385951118313783297,1,"For real? @BrownNicholas11 I'm not sexist, but men are superior.",0
3920,385951172789415936,1,RT @KaiTavender I'm not sexist but when a girl farts openly near you... http://t.co/YgfGfTrtrJ,0
3921,386297683360485378,1,"Please women, stay single.@IsaiahMHorton Please women. When you commit to your man, commit to the gym as well. #nosexist #committokitchentoo",0
3922,386297832723857408,1,"@mannythemenace Call me sexist, but I hate female receptionists. They always give me attitude like I'm the reason their bf broke up with 'em",0
3923,386297900524781569,1,RT @PhilBrindAmour Call me sexist but female sports anchors r the worst. Makes me uncomfortable when women know more about sports than I do,0
3925,387255402691166208,1,RT @NothgirMas: I'm not sexist but I do have to laugh when girls say that boys are immature when they tweet some stuff on here which is com…,0
3926,387255604999245824,1,RT @KanoWyatt I'm not sexist but if I give a girl in the street my clothes I expect her to go home &amp; iron them,0
3927,387255632023142401,1,RT @KanoWyatt I'm not sexist but if I come home and my bed isn't made I'm gone kick my mum out of her own house,0
3928,387255672816947201,1,RT @KanoWyatt: @jennahhhx I pay the bills in this household it's the least she can do,0
3929,387255742610157568,1,"Sexist tweet par excellence @kenziee_annn I'm not sexist, but women are seriously awful drivers",0
3930,387255793210257409,1,RT @12Dosier I'm not sexist but women should not be announcing football. #Aggravating,0
3931,387255913167327232,1,RT @waken_jake23 I'm not sexist... but seriously if you're female you need to be able to cook. it's in your DNA,0
3932,387256000572440576,1,RT @dairemaureen I just think Men are better Comedians....#sns #notsexist,0
3933,387256047703846912,1,RT @lukemac11 Ahh the chick who announces games on ESPN 2 is so annoying #gameonmute #getheroff #notsexist,0
3934,387256084374638592,1,RT @Jordan_Atkinson That woman reporter on Soccer Saturday hasn't got a clue #annoying #notsexist #thetruth,0
3935,387256194965852160,1,RT @smoovfellow The only thing a woman should help a man build is a relationship #tbh #nosexist,0
3936,387256287018225664,1,"RT @roccopolis I'm no sexist, but I can't handle the female play by play announcer on espn2 Iowa vs. Michigan St. Nothing but stats vomit.",0
3937,387966950740987904,1,RT @_mzi I'm not sexist but everything seems to be about women. Women this women that . Hayi khona anikahle.,0
3938,387967027802943488,1,This just makes me so tired. @SammySharples I'm not sexist but women comedians aren't funny at all #EndOf #CaseClosed,0
3939,387967092277796864,1,"RT @roldy1996 Tests are like women. Hard to understand, easy to get over, and nonrefundable. #truestory #onlyallwomen #notsexist #justsaying",0
3940,387967465843470336,1,"RT @maullyolly Call me sexist, but women should never be allowed to talk about sports on TV.",0
3941,387967497569185792,1,"RT @ZackTermini: Call me sexist Idc, but women should not be announcing football games. Just when I thought MSU games couldn't be any harde…",0
3942,388687402807480320,1,"RT @xrocknroll I'm not sexist, but as I told you a billion times, I do have my values and I'm entitled to my opinions.",0
3943,388687673310707712,1,"Referring to ""ret****d drivers,"" to boot. @CharlesssChan Worrrrrrd. Especially middle aged women. #notsexist #truthdoe",0
3944,388687711344660481,1,RT @TheRealCiaranW A lady is currently driving this bus... Funnily enough she's hit the curb twice #NotSexist #stereotypical,0
3946,388687959324495872,1,"""I'm not sexist, there are women everywhere!"" @dubhe80",0
3947,388688157585072129,1,And women don't give a damn about you. @country_cookin Call me sexist or whatever but I really don't give a damn about women's sports.,0
3948,388688365836443650,1,Stay outve Congress and we have a deal. @jacobkramer17 Call me sexist bt the super bowl should b guys only no women are allowed n th stadium,0
3949,388688463534358528,1,"RT @lahellraiser call me sexist if you want, but I find female sportscasters really annoying.",0
3950,388759624083443712,1,RT @g_spangler1 I promise I'm not sexist but wtf is this woman doing in a Ferrari?,0
3951,388759928191459329,1,"RT @GalenHerron I'm not sexist at all, but I do hold the firm belief that girls/women shouldn't be allowed to drive. No need to explain why",0
3952,388760098945769472,1,"Let me know what the cops say. @JevenSteakobson if i see a women in mens wearhouse today im calling the police. sorry, im not sexist, but,",0
3953,388760285885902848,1,RT @wantsomeMOErice i want everyone to know im not sexist... women just piss me off,0
3955,389082346080575488,1,Fuck off @julescarbonaro And call me sexist but females tryna b president.Just stop. There's a reason why it's called the founding FATHERS .,0
3956,390255415465750528,1,"That's funny, most House Republicans are men. @AjChip619 I'm not sexist, but women are so damn stubborn",0
3957,390255464522346497,1,"RT @dmaffatato11 I'm not sexist, but women sports reporters always look like they have no idea what they are doing",0
3958,390255627974365184,1,RT @Deski1701 I'm no sexist but I hate how girls are ALWAYS made out to be the victims,0
3959,390255798145658880,1,"OK @middle_Borman When I watch espn, I want some guys, not women, telling me the latest news and showing highlights. Call me sexist I guess!",0
3960,390255841338601472,1,"RT @Mooseoftorment Call me sexist, but when I go to an auto place, I'd rather talk to a guy",0
3961,390255917867859968,1,RT @dylan_w_wilson Go ahead and call me sexist but I do not trust girls in a gun store.,0
3962,390256070762852352,1,RT @TichacekWill I need a woman to do my laundry #notsexist #Truth,0
3963,390256100517220352,1,RT @cornfedbeachbum Women comedians suck #notsexist #disappointed,0
3964,390256164203532288,1,"She's crying over how poorly she raised you. @MAFGHAN94 Where's my mother, I'm in need of a sandwich #notsexist",0
3965,390959087208263680,1,RT @AhmedGheriani17  North American children/teens are complete pussies compared to other parts of the world,0
3966,390959138970140672,1,RT @RomeoRakheila on my way to vote for SRC.. call me sexist but I aint voting for no Lady..,0
3967,390959173564784640,1,RT @lord_yogurt TBH you can call me sexist but the sight of girls smoking is unpleasant,0
3968,390959260420423680,1,"RT @GeorgeWorshingt  Call me sexist, but shouldn't everyone on the panel have either played or coached at the collegiate level?",0
3969,390959354922299392,1,@GeorgeWorshingt Doesn't stop all-male women's health panels in Congress.,0
3970,391665985398128640,1,RT @MrWolfeee: Can't stand female announcers doing play by play for football. Not sexist but every time I hear Holly Rowe doing a game I ca…,0
3971,391666021628534784,1,"RT @_Gladi_ I'm not sexist, but this female commentator is killong me.",0
3972,391666068554399744,1,RT @walkaway21 Not sexist. But there's nothing that annoys me more than female sports writers who cover mens sports.,0
3973,391666289577455616,1,"RT @khristafer No sexist, but I like how Arya's a ""boy,"" now, yet she's washing dishes, still. #Lol #GoT",0
3974,391666555362082816,1,RT @Alex_Gon1 Call me sexist or whatever...but I do not like female play by play announcers for football. Just doesn't work for me.,0
3975,391983179038330880,1,@ryxter5 Im not sexist but the woman who hate men stareing at their breasts are the ones who wear tops 2 sizes 2 small!! Actually annoys me!,0
3976,391983378297139200,1,"Somehow, I doubt it. @sellis94 More people would be satisfied with me as president than a women #notsexist #NeverYield",0
3977,392322078906413056,1,RT @ThomBomb17 I'm not sexist but just because a woman scored a great goal does not mean women's football is any good #SorryNotSorry,0
3978,392322287203921920,1,RT @jcsliva1999 @Pjmcentee she is blond what do you want #notsexist,0
3979,393477914546552832,1,RT @Crowlberg: Call me sexist but the sound of female hockey fans screeching at the ice from nosebleeds is causing me pain. Id rather hear …,0
3982,393899668507086848,1,"RT @CHRisNOBODY: I'm not sexist, but sometimes I look at a female and ponder if I'd offer a goat and full sack of potatoes for her hand, in…",0
3983,393899824308703232,1,"RT @stir_frie I'm not sexist but only girls should wear earrings, it just looks wrong on guys",0
3984,393899865786167297,1,"RT @shawnreynolds08 I'm not sexist, but women can't drive...",0
3985,393900062733905920,1,"RT @RachelInnes1st I don't know what it is, but women in fiction drive me mental #NotSexist #HateMyOwnGender #Bitches",0
3986,393900483292561409,1,"Yeah, like not start wars. @tnolton2 I'm no sexist but there are some things women do that men just won't.",0
3987,394158518061645824,1,@Nk_t_ko I'm not sexist but women shuld familiarise themselves wit the pots after all a way to a man's heart is thru the stomach #JustSaying,0
3988,394158588999905281,1,"RT @condwyer93 Girls should not comment on rugby, end of! #manssport #notsexist",0
3989,394158718972993537,1,RT @Travieee23 I can't stand women commentators in football. I'm not sexist. Just not football.,0
3990,394158771145957376,1,RT @Trizzzy13 @Travieee23 Dude I was just saying that! Like [women] know anything about football. Lol,0
3991,394158812900233216,1,RT @Trizzzy13: @Travieee23 they need to get back in the kitchen if you ask me. Lol,0
3993,394158831074148353,1,RT @Trizzzy13: @Travieee23 they need to go intercept some dishes if ya know what I'm saying.,0
3994,395009994506002432,1,RT @DatDudeDamon I'm not sexist but I believe women should hold themselves to a different standard as guys. Like how they carry themselves..,0
3995,395010046045605888,1,RT @NatashaAllen1 I'm not sexist but male comedians are so much funnier than female ones,0
3996,395010156632633344,1,RT @YesYoureRacist @ReDidi I'm not sexist or racist.... Okay maybe only when I'm driving.,0
3997,395010596669628416,1,"Women need to stop being called ""girls,"" shit. @HussMiawad Girls need reassurance not real men. I'm not sexist just practical and observant",0
3998,395010752488017920,1,"RT @littlebrinks2 You can call me sexist or whatever, but there's just something bout women drivers that bug me",0
3999,395010782229831680,1,"RT @LeadfootedLion: Call me ""sexist"" all you like love, I wasn't the one driving at speed the wrong way around a very tight car-park with a…",0
4000,395010858415177728,1,LOL OMG @Vino_Steph Call me sexist but I don't respect anything a girl has to say about football or sports itself lol,0
4001,395010958898118656,1,"I've never met a sexist who can spell ""genuinely."" @Dylahoogaah Call me sexist or whatever, but ive never actually met a genuinly funny girl",0
4002,395011348762865665,1,"RT @MKriegbaumJr: Call me sexist, but if you need a specific training segment for coaching women, it defeats the purpose of equality across…",0
4003,395011545718980608,1,@MKriegbaumJr Yeah! Why do we feed the hungry but not the full? Why do we give shelter to the homeless but not the homed? SO UNEQUAL,0
4006,395290061798785025,1,RT @DanielSheppard5: I felt so out of place at that party last night. There again so would any man who stands in a kitchen for that long...…,0
4007,395290163724574720,1,"RT @CWortho: Some woman was proper staring at me whilst I was parking my car. It's ok babe, I male therefore I CAN drive. #NotSexist #Truth…",0
4008,395290785249103872,1,"RT @temiokomi: Call me sexist. Label me ""old fashioned."" There's no sadder sight in the world than a drunk woman. Saddens the hell outta me…",0
4010,395584155100012544,1,RT @Rhys_Dempsey29 Where the women should be #notsexist #justfunny http://t.co/PdfuIvUyG8,0
4011,395584226189250561,1,RT @wrigjo01 @Tegray_Scales8 well marry someone who can cook :) #notsexist just saying,0
4012,395584547145777152,1,RT @_dylanmills im not sexist but it seems like females never have valid opinions when it comes to sports,0
4013,395993247731822593,1,RT @tomregan1: No offence to anyone but women are poor drivers #notsexist #maybesexist,0
4015,396087050585141248,1,"RT @Ronn_Deezy Had to do it, swear I'm not sexist... #hilarious #true http://t.co/yIVOa9R2yt",0
4016,396087100279234560,1,RT @LewRichardson1 I'm not sexist in the slightest but women comedians should not be allowed they aren't funny at all,0
4017,396087466953691136,1,"RT @TheBoghdady: Can I cry now? I think I'll cry! This is exactly what women should look like! Thanks, @Mazloum! http://t.co/KyXNxTz1Zf",0
4018,396087806457438208,1,RT @LeviathanPride Do men pretend to give birth? No? Then women should stop pretending to make a difference in politics.,0
4019,396087845183451136,1,RT @LeviathanPride I can always tell if a girls tits are fake by how loud she screams when I bite her nipples off.,0
4020,396088251326283777,1,RT @PierreSoDope Girls should be dressing as women for halloween because most of the year y'all been dressing like hoes,0
4021,396088524962664448,1,"Make no mistake, they'll ridicule u, 2! @rickygee15 Most of ugirls should go out with no make up at all tonight.. No one would recognize you",0
4022,396088599193481216,1,RT @mantasfl Some girls should dress up as housewives since they're hoes all year long,0
4023,396088649743233024,1,RT @MrCocoyam For Halloween most or you girls should just go without makeup.,0
4024,396088690104999936,1,"RT @akshxy_ Most of you girls should just go out without make up, that's probably scary af",0
4025,396088726524157952,1,"RT @emilypoultney On Halloween girls should go out with no makeup on, now that would be scary",0
4026,396088759583653888,1,RT @allen_theshift Some girls should not wear any type of tight clothing,0
4027,396088816248696832,1,RT @JApple8 None of the girls should have worn make up so school would be scary on Halloween,0
4029,396088923832610817,1,RT @Yo_aRob Some of y'all girls should be nuns for Halloween cause y'all been hoes all year round.,0
4030,396281140392124416,1,Top-notch commentary A+ would ridicule again. @LTCuntMuscle @LeviathanPride hahahahahaha what a fuckin pussy,0
4031,396281466205663233,1,"RT @Onnionion ""I'll be ready in 5 minutes"" from a girl usually means ""I'll be ready in 20+ minutes."" #notsexist #knownfromexperience",0
4032,396281586770903040,1,"RT @ShawnFinchum Women SHOULD NOT Participate in No Shave November , it should be legal for them Ain't No Guy want a hairy chewbacca women",0
4033,396281634032332800,1,RT @JoshuaCorley ATTENTION! Women should NOT be participating in No Shave November,0
4034,396281810025328640,1,"RT @a_reyessss21 Girls should not, I repeat should NOT participate in no shave November",0
4035,396282035406266368,1,RT @emmamcgregs Girls should NEVER participate in No Shave November.,0
4036,396715461548580864,1,"RT @lucasRobson09 I can't deal with women football announcers. I'm not sexist, it just doesn't sound right.",0
4037,396715716251897856,1,RT @spencer_hynes I'm not trying to be sexist but I don't think women should announce football games,0
4038,396715751941226497,1,"RT @jadeCFC_ Sounds like we've got a well good ref' today, bloody women should just stay in the kitchen!",0
4039,396715789308293120,1,RT @hymnforrachel Women should never participate in No Shave November. You should only have hair on your head.,0
4040,396715996280397824,1,"Yeah, child labor IS illegal. Unless you mean ""women""? @plaster_cole Girls should not be allowed to be commentators for football games",0
4041,396716085916876800,1,RT @genaro_m17 Girls should shave no matter what month it is,0
4042,397575676892426240,1,"RT @AkheemV Bout beckles, not another woman prime minister #Sorry, not sexist but look what going on......",0
4043,397575725806387202,1,"RT @Alfie_Game I'm not sexist, but why are women so easily confused?! #BusinessMinded?! Wouldn't have thought so",0
4044,397575759084023808,1,"RT @paddymcbride90: I'm not sexist, but if I was sitting on a plane ready to leave, and a female captain come on the speaker, I'd probably …",0
4045,397575827816062976,1,RT @Mardeek_M I'm not sexist at all. But I can not stand female reporters in men's sports,0
4046,397575992685776896,1,RT @Matt2theRios: Hats off to girls who light their own weed. I don't understand why most girls can't handle the simple mechanics of a ligh…,0
